ride_id,rideable_type,started_at,ended_at,start_hour,trip length,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,start_loc,end_loc
1B2898656A62F1FB,electric_bike,2022-12-10 21:47:52,2022-12-10 22:07:02,21,40:50,Clifton Ave & Armitage Ave,TA1307000163,Spaulding Ave & Armitage Ave,15650,41.918221354,-87.657061577,41.9171080347893,-87.7102209627628,casual,"41.918221354,-87.657061577","41.9171080347893,-87.7102209627628"
A332DD20175E907E,classic_bike,2022-12-03 08:49:51,2022-12-03 09:05:16,8,44:35,Broadway & Belmont Ave,13277,Southport Ave & Waveland Ave,13235,41.940106,-87.645451,41.94815,-87.66394,casual,"41.940106,-87.645451","41.94815,-87.66394"
37D27BD10A147058,classic_bike,2022-12-13 06:55:00,2022-12-13 07:00:18,6,54:42,Sangamon St & Lake St,TA1306000015,Wacker Dr & Washington St,KA1503000072,41.8857792524043,-87.6510246098041,41.8831433643902,-87.6372420787811,member,"41.8857792524043,-87.6510246098041","41.8831433643902,-87.6372420787811"
3945E996AE3304B8,electric_bike,2022-12-09 00:03:47,2022-12-09 00:15:03,0,48:44,Sedgwick St & North Ave,TA1307000038,Southport Ave & Waveland Ave,13235,41.91140008,-87.638733268,41.94815,-87.66394,member,"41.91140008,-87.638733268","41.94815,-87.66394"
05647C706F628864,classic_bike,2022-12-19 14:58:47,2022-12-19 15:00:40,14,58:07,Sangamon St & Lake St,TA1306000015,Sangamon St & Washington Blvd,13409,41.8857792524043,-87.6510246098041,41.883165,-87.6511,member,"41.8857792524043,-87.6510246098041","41.883165,-87.6511"
221B0D4EBCF9D710,electric_bike,2022-12-30 14:07:17,2022-12-30 14:15:19,14,51:58,Broadway & Belmont Ave,13277,Southport Ave & Waveland Ave,13235,41.940076709,-87.645405769,41.94815,-87.66394,member,"41.940076709,-87.645405769","41.94815,-87.66394"
9EC83B7E25B61421,electric_bike,2022-12-16 12:52:54,2022-12-16 12:54:20,12,58:34,Sangamon St & Lake St,TA1306000015,Sangamon St & Washington Blvd,13409,41.8857965,-87.6510563333333,41.883165,-87.6511,member,"41.8857965,-87.6510563333333","41.883165,-87.6511"
5756E0DF84CEF779,classic_bike,2022-12-06 09:20:21,2022-12-06 09:34:17,9,46:04,Sedgwick St & North Ave,TA1307000038,Wacker Dr & Washington St,KA1503000072,41.911386,-87.638677,41.8831433643902,-87.6372420787811,member,"41.911386,-87.638677","41.8831433643902,-87.6372420787811"
B9645D9F60BFD279,classic_bike,2022-12-13 08:45:54,2022-12-13 09:00:19,8,45:35,Sedgwick St & North Ave,TA1307000038,Wacker Dr & Washington St,KA1503000072,41.911386,-87.638677,41.8831433643902,-87.6372420787811,member,"41.911386,-87.638677","41.8831433643902,-87.6372420787811"
D5E154DDC4146EFC,electric_bike,2022-12-03 09:09:55,2022-12-03 09:19:20,9,50:35,Ashland Ave & Chicago Ave,13247,Wacker Dr & Washington St,KA1503000072,41.8959566666667,-87.6677653333333,41.8831433643902,-87.6372420787811,member,"41.8959566666667,-87.6677653333333","41.8831433643902,-87.6372420787811"
